datetime,epoch,open,high,low,close
2026-04-23 21:00:00.000,1776978000,32482.7422,32630.2085,32265.9539,32291.359
2026-04-23 21:30:00.000,1776979800,32293.1982,32431.4697,32203.0273,32271.8506
2026-04-23 22:00:00.000,1776981600,32279.0329,32422.1893,32208.5799,32267.6759
2026-04-23 22:30:00.000,1776983400,32268.0453,32433.9256,32165.3373,32320.5757
2026-04-23 23:00:00.000,1776985200,32324.7292,32329.9294,32074.0971,32249.2888
2026-04-23 23:30:00.000,1776987000,32238.9743,32472.2558,32232.1731,32247.3767
2026-04-24 00:00:00.000,1776988800,32248.8797,32292.4823,32031.2674,32181.7348
2026-04-24 00:30:00.000,1776990600,32181.9045,32497.8702,32127.6722,32483.3925
2026-04-24 01:00:00.000,1776992400,32473.3973,32706.4265,32430.488,32685.4054
2026-04-24 01:30:00.000,1776994200,32682.6913,32834.5111,32651.0804,32781.098
2026-04-24 02:00:00.000,1776996000,32772.5549,32892.6033,32635.635,32707.3992
2026-04-24 02:30:00.000,1776997800,32704.0519,32710.6762,32450.4879,32483.2023
2026-04-24 03:00:00.000,1776999600,32486.4891,32568.3822,32341.0987,32449.0967
2026-04-24 03:30:00.000,1777001400,32440.3115,32661.3897,32384.3154,32485.46
2026-04-24 04:00:00.000,1777003200,32486.1758,32752.1962,32477.112,32656.2737
2026-04-24 04:30:00.000,1777005000,32657.1097,32751.7772,32440.7447,32509.6693
2026-04-24 05:00:00.000,1777006800,32504.9964,32563.2775,32161.6321,32190.5502
2026-04-24 05:30:00.000,1777008600,32195.8549,32255.1967,32080.2886,32211.3853
2026-04-24 06:00:00.000,1777010400,32212.9893,32434.4463,32194.2676,32258.6266
2026-04-24 06:30:00.000,1777012200,32251.5447,32553.0589,32233.9162,32332.2698
2026-04-24 07:00:00.000,1777014000,32328.3457,32433.6996,32213.4218,32222.3962
2026-04-24 07:30:00.000,1777015800,32220.3958,32258.3423,32014.3671,32185.7938
2026-04-24 08:00:00.000,1777017600,32192.5922,32438.9801,32072.5608,32371.8222
2026-04-24 08:30:00.000,1777019400,32372.2636,32407.6053,32246.8037,32340.1282
2026-04-24 09:00:00.000,1777021200,32336.8085,32636.4897,32299.388,32599.5965
2026-04-24 09:30:00.000,1777023000,32602.6087,32804.0548,32602.6087,32754.0959
2026-04-24 10:00:00.000,1777024800,32744.5998,33119.9226,32744.5998,33116.8205
2026-04-24 10:30:00.000,1777026600,33115.9176,33274.8308,32987.7383,33184.9933
2026-04-24 11:00:00.000,1777028400,33179.9369,33232.1884,33014.3898,33070.5187
2026-04-24 11:30:00.000,1777030200,33072.7452,33108.1619,32885.7546,32988.904
2026-04-24 12:00:00.000,1777032000,32985.7488,33180.8245,32910.4045,33081.3006
2026-04-24 12:30:00.000,1777033800,33079.6634,33518.083,33026.3603,33517.1146
2026-04-24 13:00:00.000,1777035600,33520.2563,33536.0974,33417.2245,33437.4361
2026-04-24 13:30:00.000,1777037400,33436.6463,33501.7656,33282.8678,33356.5461
2026-04-24 14:00:00.000,1777039200,33362.4233,33450.1819,33176.6786,33322.3384
2026-04-24 14:30:00.000,1777041000,33319.73,33334.7555,33129.7464,33264.2059
2026-04-24 15:00:00.000,1777042800,33261.5115,33268.0916,32957.152,32971.8161
2026-04-24 15:30:00.000,1777044600,32956.4311,33456.2858,32928.4892,33305.4979
2026-04-24 16:00:00.000,1777046400,33301.4447,33450.9022,33287.3813,33356.8031
2026-04-24 16:30:00.000,1777048200,33366.1381,33465.0069,33055.7777,33159.2787
2026-04-24 17:00:00.000,1777050000,33172.9276,33487.643,33117.766,33318.2811
2026-04-24 17:30:00.000,1777051800,33325.0244,33387.8838,33178.2265,33219.809
2026-04-24 18:00:00.000,1777053600,33225.4579,33235.1486,32944.2445,33045.6082
2026-04-24 18:30:00.000,1777055400,33037.0051,33101.56,32884.5918,33001.031
2026-04-24 19:00:00.000,1777057200,33001.7818,33473.6791,32942.9786,33434.3108
2026-04-24 19:30:00.000,1777059000,33434.1084,33612.1431,33413.9981,33422.8688
2026-04-24 20:00:00.000,1777060800,33421.7951,33455.5001,33246.8558,33315.6856
2026-04-24 20:30:00.000,1777062600,33317.111,33435.1367,32999.2963,33023.4418
2026-04-24 21:00:00.000,1777064400,33020.3286,33287.6498,32917.4346,33281.3502
2026-04-24 21:30:00.000,1777066200,33279.6368,33526.5626,33231.5797,33494.5982
2026-04-24 22:00:00.000,1777068000,33493.378,33718.3926,33451.7607,33618.5669
2026-04-24 22:30:00.000,1777069800,33619.4708,33720.5623,33502.0185,33546.016
2026-04-24 23:00:00.000,1777071600,33547.5638,33547.5638,33205.3531,33222.5084
2026-04-24 23:30:00.000,1777073400,33220.8857,33281.6649,33127.6541,33236.3481
2026-04-25 00:00:00.000,1777075200,33233.3165,33653.3177,33229.4044,33542.7328
2026-04-25 00:30:00.000,1777077000,33554.461,33618.6856,33269.4697,33377.7016
2026-04-25 01:00:00.000,1777078800,33372.7091,33633.8192,33299.494,33627.8825
2026-04-25 01:30:00.000,1777080600,33638.641,33805.0452,33565.2517,33756.8598
2026-04-25 02:00:00.000,1777082400,33758.2742,33907.9958,33671.9437,33890.9151
2026-04-25 02:30:00.000,1777084200,33888.7365,33923.9624,33376.1939,33395.2331
2026-04-25 03:00:00.000,1777086000,33390.887,33764.0531,33390.887,33749.5924
2026-04-25 03:30:00.000,1777087800,33754.6684,33967.8569,33672.4117,33689.9368
2026-04-25 04:00:00.000,1777089600,33692.2418,33878.6393,33667.8483,33766.2555
2026-04-25 04:30:00.000,1777091400,33768.697,34065.1588,33768.697,34034.2531
2026-04-25 05:00:00.000,1777093200,34027.3342,34237.1725,33955.0982,34227.9529
2026-04-25 05:30:00.000,1777095000,34236.5629,34515.9497,34125.885,34501.3875
2026-04-25 06:00:00.000,1777096800,34506.0497,34620.6852,34434.4474,34445.4593
2026-04-25 06:30:00.000,1777098600,34438.9366,34642.3388,34371.6417,34438.41
2026-04-25 07:00:00.000,1777100400,34444.0139,34536.0319,34124.6514,34196.252
2026-04-25 07:30:00.000,1777102200,34197.3858,34217.6248,33892.1597,33958.0303
2026-04-25 08:00:00.000,1777104000,33958.9752,34025.1521,33675.41,33762.7501
2026-04-25 08:30:00.000,1777105800,33762.0847,33924.5578,33651.4697,33881.0553
2026-04-25 09:00:00.000,1777107600,33883.2517,34330.1611,33875.4247,34317.6299
2026-04-25 09:30:00.000,1777109400,34321.7385,34420.517,34066.7225,34103.2475
2026-04-25 10:00:00.000,1777111200,34090.817,34156.265,33796.5479,33837.9644
2026-04-25 10:30:00.000,1777113000,33838.6549,34072.7651,33790.4992,33971.1483
2026-04-25 11:00:00.000,1777114800,33985.3369,34089.2579,33882.6036,34032.1337
2026-04-25 11:30:00.000,1777116600,34036.5353,34185.7071,34010.691,34072.018
