datetime,epoch,open,high,low,close
2026-04-23 21:00:00.000,1776978000,10031.13,10041.56,10029.96,10037.48
2026-04-23 21:30:00.000,1776979800,10037.29,10044.1,10034.77,10040.24
2026-04-23 22:00:00.000,1776981600,10040.19,10044.1,10035.51,10036.23
2026-04-23 22:30:00.000,1776983400,10036,10043.34,10033.07,10035.2
2026-04-23 23:00:00.000,1776985200,10035.21,10045.22,10033.8,10043.74
2026-04-23 23:30:00.000,1776987000,10043.88,10053.49,10041.52,10051.2
2026-04-24 00:00:00.000,1776988800,10050.85,10062.55,10049.1,10061.73
2026-04-24 00:30:00.000,1776990600,10061.99,10070.91,10054.37,10069.32
2026-04-24 01:00:00.000,1776992400,10069.31,10075.12,10064.68,10065.46
2026-04-24 01:30:00.000,1776994200,10065.09,10066.67,10050.67,10061.14
2026-04-24 02:00:00.000,1776996000,10060.9,10062.4,10053.25,10061.81
2026-04-24 02:30:00.000,1776997800,10061.79,10068.57,10060.19,10067.02
2026-04-24 03:00:00.000,1776999600,10067.35,10075.62,10065.5,10072.67
2026-04-24 03:30:00.000,1777001400,10072.72,10073.75,10057.68,10057.95
2026-04-24 04:00:00.000,1777003200,10057.91,10070.28,10057.53,10070.14
2026-04-24 04:30:00.000,1777005000,10070.39,10077.63,10068.53,10075.89
2026-04-24 05:00:00.000,1777006800,10075.88,10083.3,10072.68,10083.27
2026-04-24 05:30:00.000,1777008600,10083.23,10083.77,10070.61,10073.31
2026-04-24 06:00:00.000,1777010400,10073.38,10083.1,10065.18,10080.22
2026-04-24 06:30:00.000,1777012200,10080.07,10097.78,10079.65,10096.86
2026-04-24 07:00:00.000,1777014000,10096.88,10105.48,10088.98,10090.75
2026-04-24 07:30:00.000,1777015800,10090.72,10097.08,10082.52,10089.4
2026-04-24 08:00:00.000,1777017600,10089.45,10094.43,10087.34,10089.05
2026-04-24 08:30:00.000,1777019400,10088.78,10095.18,10086.66,10090.63
2026-04-24 09:00:00.000,1777021200,10090.88,10096.21,10087.13,10088.31
2026-04-24 09:30:00.000,1777023000,10087.93,10087.95,10082.25,10085.83
2026-04-24 10:00:00.000,1777024800,10085.81,10092.55,10080.83,10087.78
2026-04-24 10:30:00.000,1777026600,10087.55,10089.45,10068.75,10076.78
2026-04-24 11:00:00.000,1777028400,10076.62,10082.31,10066.61,10080.71
2026-04-24 11:30:00.000,1777030200,10080.71,10096.38,10080.14,10093.29
2026-04-24 12:00:00.000,1777032000,10093.29,10098.93,10089.96,10098.04
2026-04-24 12:30:00.000,1777033800,10098.11,10105.19,10095.84,10096.14
2026-04-24 13:00:00.000,1777035600,10096.59,10102.32,10095.32,10101.03
2026-04-24 13:30:00.000,1777037400,10101.18,10106.75,10096.42,10097.46
2026-04-24 14:00:00.000,1777039200,10097.52,10097.98,10089.32,10090.96
