datetime,epoch,open,high,low,close
2026-04-23 21:00:00.000,1776978000,4986.971,4989.075,4983.18,4983.386
2026-04-23 21:30:00.000,1776979800,4983.405,4984.382,4980.283,4983.838
2026-04-23 22:00:00.000,1776981600,4983.957,4986.988,4982.688,4985.633
2026-04-23 22:30:00.000,1776983400,4985.699,4985.944,4981.526,4985.086
2026-04-23 23:00:00.000,1776985200,4985.14,4985.17,4979.163,4979.993
2026-04-23 23:30:00.000,1776987000,4980.148,4984.582,4979.429,4983.358
2026-04-24 00:00:00.000,1776988800,4983.291,4985.691,4979.252,4979.707
2026-04-24 00:30:00.000,1776990600,4979.374,4989.731,4979.245,4988.732
2026-04-24 01:00:00.000,1776992400,4988.803,4989.905,4982.205,4985.916
2026-04-24 01:30:00.000,1776994200,4986.001,4988.541,4983.649,4986.105
2026-04-24 02:00:00.000,1776996000,4986.173,4988.34,4984.143,4985.261
2026-04-24 02:30:00.000,1776997800,4985.157,4985.64,4979.09,4980.685
2026-04-24 03:00:00.000,1776999600,4980.819,4982.825,4976.504,4979.772
2026-04-24 03:30:00.000,1777001400,4979.588,4981.912,4975.428,4979.01
2026-04-24 04:00:00.000,1777003200,4978.917,4979.928,4973.553,4976.603
2026-04-24 04:30:00.000,1777005000,4976.757,4980.457,4973.845,4980.457
2026-04-24 05:00:00.000,1777006800,4980.658,4983.21,4978.933,4982.05
2026-04-24 05:30:00.000,1777008600,4982.124,4982.124,4974.741,4976.932
2026-04-24 06:00:00.000,1777010400,4976.807,4980.208,4976.424,4979.625
2026-04-24 06:30:00.000,1777012200,4979.652,4980.904,4974.88,4975.124
2026-04-24 07:00:00.000,1777014000,4975.141,4976.182,4968.565,4969.063
2026-04-24 07:30:00.000,1777015800,4969.226,4969.872,4966.674,4968.939
2026-04-24 08:00:00.000,1777017600,4968.935,4972.963,4968.067,4970.181
2026-04-24 08:30:00.000,1777019400,4970.091,4973.103,4967.404,4971.608
2026-04-24 09:00:00.000,1777021200,4971.51,4975.039,4968.927,4973.658
2026-04-24 09:30:00.000,1777023000,4973.785,4977.638,4972.579,4976.365
2026-04-24 10:00:00.000,1777024800,4976.341,4976.352,4967.324,4971.152
2026-04-24 10:30:00.000,1777026600,4971.086,4971.741,4966.707,4967.185
2026-04-24 11:00:00.000,1777028400,4967.168,4967.533,4959.63,4961.499
2026-04-24 11:30:00.000,1777030200,4961.489,4961.962,4952.084,4952.654
2026-04-24 12:00:00.000,1777032000,4952.732,4953.295,4947.912,4949.401
2026-04-24 12:30:00.000,1777033800,4949.57,4950.903,4945.287,4947.07
2026-04-24 13:00:00.000,1777035600,4947.04,4947.331,4942.555,4945.654
2026-04-24 13:30:00.000,1777037400,4945.646,4946.539,4943.856,4944.705
2026-04-24 14:00:00.000,1777039200,4944.617,4945.703,4941.505,4943.837
2026-04-24 14:30:00.000,1777041000,4943.92,4944.394,4937.839,4939.595
2026-04-24 15:00:00.000,1777042800,4939.75,4943.992,4938.33,4938.553
2026-04-24 15:30:00.000,1777044600,4938.148,4942.744,4937.659,4942.744
